Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2024,AQS,60370016,2,0.2,ppm,2,Glendora,19,79,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/2/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/3/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/4/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/5/2024,AQS,60370016,2,0.3,ppm,3,Glendora,17,71,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/6/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/7/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/8/2024,AQS,60370016,2,0.2,ppm,2,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/9/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/10/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/11/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/12/2024,AQS,60370016,2,0.3,ppm,3,Glendora,24,100,42101,Carbon monoxide,158,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
